channel names:			
04/04/2014 02:36:11 PM - Voltage - Dev1_ai0	04/04/2014 02:36:11 PM - Voltage - Dev1_ai1	04/04/2014 02:36:11 PM - Voltage - Dev1_ai2	04/04/2014 02:36:11 PM - Voltage - Dev1_ai3
start times:			
12/31/1903 19:00:00.000000	12/31/1903 19:00:00.000000	12/31/1903 19:00:00.000000	12/31/1903 19:00:00.000000
dt:			
0.050000			
data:			
-8.100316E-1	7.086200E-2	-3.714918E-1	-3.477375E+0
-8.100316E-1	7.433792E-2	-3.730853E-1	-3.478007E+0
-8.093941E-1	8.508168E-2	-3.718105E-1	-3.477375E+0
-8.103503E-1	8.855761E-2	-3.721292E-1	-3.476742E+0
-8.100316E-1	9.424548E-2	-3.718105E-1	-3.477058E+0
-8.106690E-1	1.030933E-1	-3.740414E-1	-3.476425E+0
-8.097128E-1	1.075172E-1	-3.705356E-1	-3.476425E+0
-8.090754E-1	1.169970E-1	-3.718105E-1	-3.476425E+0
-8.093941E-1	1.242648E-1	-3.718105E-1	-3.476425E+0
-8.090754E-1	1.302687E-1	-3.721292E-1	-3.476425E+0
-8.084380E-1	1.350086E-1	-3.724479E-1	-3.476109E+0
-8.084380E-1	1.400645E-1	-3.721292E-1	-3.475476E+0
-8.081193E-1	1.533362E-1	-3.721292E-1	-3.475476E+0
-8.084380E-1	1.609200E-1	-3.724479E-1	-3.476109E+0
-8.078006E-1	1.590240E-1	-3.734040E-1	-3.474843E+0
-8.084380E-1	1.634479E-1	-3.718105E-1	-3.474210E+0
-8.090754E-1	1.612360E-1	-3.734040E-1	-3.475159E+0
-8.081193E-1	1.716638E-1	-3.737227E-1	-3.474843E+0
-8.078006E-1	1.817755E-1	-3.718105E-1	-3.473894E+0
-8.084380E-1	1.940993E-1	-3.727666E-1	-3.473894E+0
-8.071632E-1	2.026311E-1	-3.743602E-1	-3.473577E+0
-8.074819E-1	2.114789E-1	-3.734040E-1	-3.473894E+0
-8.081193E-1	2.196947E-1	-3.737227E-1	-3.473261E+0
-8.078006E-1	2.212747E-1	-3.737227E-1	-3.472944E+0
-8.071632E-1	2.310704E-1	-3.734040E-1	-3.472311E+0
-8.071632E-1	2.320184E-1	-3.734040E-1	-3.470729E+0
-8.071632E-1	2.437102E-1	-3.734040E-1	-3.471046E+0
-8.071632E-1	2.560339E-1	-3.737227E-1	-3.471362E+0
-8.058883E-1	2.610898E-1	-3.746789E-1	-3.470729E+0
-8.058883E-1	2.655137E-1	-3.746789E-1	-3.470096E+0
-8.055696E-1	2.724655E-1	-3.743602E-1	-3.471046E+0
-8.049322E-1	2.832093E-1	-3.743602E-1	-3.470729E+0
-8.052509E-1	2.806813E-1	-3.753163E-1	-3.470413E+0
-8.055696E-1	2.841573E-1	-3.740414E-1	-3.469463E+0
-8.052509E-1	2.945850E-1	-3.740414E-1	-3.469147E+0
-8.049322E-1	3.012209E-1	-3.749976E-1	-3.468830E+0
-8.052509E-1	3.084887E-1	-3.734040E-1	-3.468830E+0
-8.049322E-1	3.094367E-1	-3.753163E-1	-3.469147E+0
-8.039761E-1	3.129126E-1	-3.743602E-1	-3.469147E+0
-8.039761E-1	3.148086E-1	-3.756350E-1	-3.469147E+0
-8.039761E-1	3.249204E-1	-3.749976E-1	-3.468514E+0
